2025-01-28 04:23:48 status unpacked libaudit1:arm64 1:3.1.2-2.1build1
2025-01-28 04:23:48 install libblkid1:arm64 <none> 2.39.3-9ubuntu6
2025-01-28 04:23:48 status half-installed libblkid1:arm64 2.39.3-9ubuntu6
2025-01-28 04:23:48 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2025-01-28 04:23:48 install libbz2-1.0:arm64 <none> 1.0.8-5.1
2025-01-28 04:23:48 status half-installed libbz2-1.0:arm64 1.0.8-5.1
2025-01-28 04:23:48 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2025-01-28 04:23:48 install libc-bin:arm64 <none> 2.39-0ubuntu8
2025-01-28 04:23:48 status half-installed libc-bin:arm64 2.39-0ubuntu8
2025-01-28 04:23:48 status unpacked libc-bin:arm64 2.39-0ubuntu8
2025-01-28 04:23:49 upgrade libc6:arm64 2.39-0ubuntu8 2.39-0ubuntu8
2025-01-28 04:23:49 status half-configured libc6:arm64 2.39-0ubuntu8
2025-01-28 04:23:49 status unpacked libc6:arm64 2.39-0ubuntu8
2025-01-28 04:23:49 status half-installed libc6:arm64 2.39-0ubuntu8
2025-01-28 04:23:55 status unpacked libc6:arm64 2.39-0ubuntu8
2025-01-28 04:23:55 install libcap-ng0:arm64 <none> 0.8.4-2build2
2025-01-28 04:23:55 status half-installed libcap-ng0:arm64 0.8.4-2build2
2025-01-28 04:23:55 status unpacked libcap-ng0:arm64 0.8.4-2build2
2025-01-28 04:23:55 install libcap2:arm64 <none> 1:2.66-5ubuntu2
2025-01-28 04:23:55 status half-installed libcap2:arm64 1:2.66-5ubuntu2
2025-01-28 04:23:55 status unpacked libcap2:arm64 1:2.66-5ubuntu2
2025-01-28 04:23:55 install libcom-err2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:55 status half-installed libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:56 status unpacked libcom-err2:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:56 install libcrypt1:arm64 <none> 1:4.4.36-4build1
2025-01-28 04:23:56 status half-installed libcrypt1:arm64 1:4.4.36-4build1
2025-01-28 04:23:56 status unpacked libcrypt1:arm64 1:4.4.36-4build1
2025-01-28 04:23:56 install libdebconfclient0:arm64 <none> 0.271ubuntu3
2025-01-28 04:23:56 status half-installed libdebconfclient0:arm64 0.271ubuntu3
2025-01-28 04:23:56 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2025-01-28 04:23:56 install libext2fs2t64:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:56 status half-installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:57 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:57 install libgcc-s1:arm64 <none> 14-20240412-0ubuntu1
2025-01-28 04:23:57 status half-installed libgcc-s1:arm64 14-20240412-0ubuntu1
2025-01-28 04:23:57 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2025-01-28 04:23:57 install libgcrypt20:arm64 <none> 1.10.3-2build1
2025-01-28 04:23:57 status half-installed libgcrypt20:arm64 1.10.3-2build1
2025-01-28 04:23:57 status unpacked libgcrypt20:arm64 1.10.3-2build1
2025-01-28 04:23:57 install libgmp10:arm64 <none> 2:6.3.0+dfsg-2ubuntu6
2025-01-28 04:23:57 status half-installed libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2025-01-28 04:23:58 status unpacked libgmp10:arm64 2:6.3.0+dfsg-2ubuntu6
2025-01-28 04:23:58 install libgpg-error0:arm64 <none> 1.47-3build2
2025-01-28 04:23:58 status half-installed libgpg-error0:arm64 1.47-3build2
2025-01-28 04:23:58 status unpacked libgpg-error0:arm64 1.47-3build2
2025-01-28 04:23:58 install liblz4-1:arm64 <none> 1.9.4-1build1
2025-01-28 04:23:58 status half-installed liblz4-1:arm64 1.9.4-1build1
2025-01-28 04:23:58 status unpacked liblz4-1:arm64 1.9.4-1build1
2025-01-28 04:23:58 install liblzma5:arm64 <none> 5.6.1+really5.4.5-1
2025-01-28 04:23:58 status half-installed liblzma5:arm64 5.6.1+really5.4.5-1
2025-01-28 04:23:58 status unpacked liblzma5:arm64 5.6.1+really5.4.5-1
2025-01-28 04:23:58 install libmd0:arm64 <none> 1.1.0-2build1
2025-01-28 04:23:58 status half-installed libmd0:arm64 1.1.0-2build1
2025-01-28 04:23:59 status unpacked libmd0:arm64 1.1.0-2build1
2025-01-28 04:23:59 install libmount1:arm64 <none> 2.39.3-9ubuntu6
2025-01-28 04:23:59 status half-installed libmount1:arm64 2.39.3-9ubuntu6
2025-01-28 04:23:59 status unpacked libmount1:arm64 2.39.3-9ubuntu6
2025-01-28 04:23:59 install libncursesw6:arm64 <none> 6.4+20240113-1ubuntu2
2025-01-28 04:23:59 status half-installed libncursesw6:arm64 6.4+20240113-1ubuntu2
2025-01-28 04:23:59 status unpacked libncursesw6:arm64 6.4+20240113-1ubuntu2
2025-01-28 04:23:59 install libpam-modules:arm64 <none> 1.5.3-5ubuntu5
2025-01-28 04:23:59 status half-installed libpam-modules:arm64 1.5.3-5ubuntu5
2025-01-28 04:24:03 status unpacked libpam-modules:arm64 1.5.3-5ubuntu5
2025-01-28 04:24:03 install libpam-modules-bin:arm64 <none> 1.5.3-5ubuntu5
2025-01-28 04:24:03 status half-installed libpam-modules-bin:arm64 1.5.3-5ubuntu5
2025-01-28 04:24:03 status unpacked libpam-modules-bin:arm64 1.5.3-5ubuntu5
2025-01-28 04:24:04 install libpam-runtime:all <none> 1.5.3-5ubuntu5
2025-01-28 04:24:04 status half-installed libpam-runtime:all 1.5.3-5ubuntu5
2025-01-28 04:24:04 status unpacked libpam-runtime:all 1.5.3-5ubuntu5
2025-01-28 04:24:04 install libpam0g:arm64 <none> 1.5.3-5ubuntu5
2025-01-28 04:24:04 status half-installed libpam0g:arm64 1.5.3-5ubuntu5
2025-01-28 04:24:04 status unpacked libpam0g:arm64 1.5.3-5ubuntu5
2025-01-28 04:24:04 install libpcre2-8-0:arm64 <none> 10.42-4ubuntu2
2025-01-28 04:24:04 status half-installed libpcre2-8-0:arm64 10.42-4ubuntu2
2025-01-28 04:24:04 status unpacked libpcre2-8-0:arm64 10.42-4ubuntu2
2025-01-28 04:24:04 install libproc2-0:arm64 <none> 2:4.0.4-4ubuntu3
2025-01-28 04:24:04 status half-installed libproc2-0:arm64 2:4.0.4-4ubuntu3
2025-01-28 04:24:04 status unpacked libproc2-0:arm64 2:4.0.4-4ubuntu3
2025-01-28 04:24:05 install libselinux1:arm64 <none> 3.5-2ubuntu2
2025-01-28 04:24:05 status half-installed libselinux1:arm64 3.5-2ubuntu2
2025-01-28 04:24:05 status unpacked libselinux1:arm64 3.5-2ubuntu2
2025-01-28 04:24:05 install libsemanage-common:all <none> 3.5-1build5
2025-01-28 04:24:05 status half-installed libsemanage-common:all 3.5-1build5
2025-01-28 04:24:05 status unpacked libsemanage-common:all 3.5-1build5
2025-01-28 04:24:05 install libsemanage2:arm64 <none> 3.5-1build5
